Year,Location
2001,"Brisbane district (Queensland province), Kiama, Shellharbour, Wingecarribee, Wollongong, Hornsby, Ku-ring-gai, Waverley, Richmond Valley, Armidale Dumaresq, Tamworth Regional, Clarence Valley, Kyogle districts (New South Wales province)"
2001,Gold Coast district (Queensland province)
2001,"Pigeon Hole, Kalkarindji, Daguragu areas (Victoria-Daly district, Northern Territory province), Borroloola, Ryan's Bend areas (Roper Gulf district, Northern Territory province), Devil's Springs area (Barkly district, Northern Territory province)"
2001,"Grafton, Maclean villages (Clarence Valley district, New South Wales province)"
2001,"Maclean, Yamba villages (Clarence Valley district, New South Wales province), Lismore, Woodburn villages (Lismore district, New South Wales province), Mullumbimby village (Byron district, New South Wales province), Murwillumbah area (Tweed district, New South Wales province), Smithtown, Gladstone areas (Kempsey district, New South Wales province), Coffs Harbour, Ballina, Kyogle, New South Wales"
2001,New South Wales province
2001,"Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province), Canberra (Unincorporated ACT district, Australian Capital Territory province)"
2002,"Sydney, Liverpoool, Fairfield, Holroyd, Parramatta, Blacktown, The Hills Shire, Campbelltown districts (New South Wales province)"
2002,"Queensland, New South Wales provinces"
2002,New South Wales province
2002,"Sydney (Ashfield (A), Auburn (C), Bankstown (C), Botany Bay (C), Burwood (A), Canada Bay (A), Canterbury (C), Holroyd (C), Hunters Hill (A), Hurstville (C), Kogarah (C), Ku-ring-gai (A), Lane Cove (A), Leichhardt (A), Manly (A), Marrickville (A), Mosman (A), North Sydney (A), Parramatta (C), Pittwater (A), Randwick (C), Rockdale (C), Ryde (C), Strathfield (A), Sutherland Shire (A), Sydney (C), Warringah (A), Waverley (A), Willoughby (C), Woollahra (A) districts, New South Wales province)"
2002,
2002,"Port Stephens, Greater Taree districts (New South Wales province)"
2003,"Clarence Valley, Coffs Harbour, Kempsey, Gwydir, Tamworth Regional, Narrabri, Uralla, Moree Plains districts (New South Wales province)"
2003,"Stanwell, Gracemere, Mount Morgan villages (Rockhampton district, Queensland province), Wowan, Baralaba, Moura villages (Banana district, Queensland province), Agnes Water, Makowata villages (Gladstone district, Queensland province), Blackall Tambo district (Queensland province)"
2003,"Canberra region (Unincorporated ACT district, Australian Capital Territory province)"
2003,New South Wales province
2003,Sydney district (New South Wales province)
2003,Melbourne district (Victoria province)
2003,Gladstone district (Queensland province)
2003,Greater Bendigo district (Victoria province)
2003,"Gosford, Wyong, Wollongong districts (New South Wales province)"
2003,"Darebin, Manningham districts (Victoria province)"
2004,"Victoria, Queensland provinces"
2004,Brisbane district (Queensland province)
2004,"Mount Isa, Longreach, Rockhampton, Townsville, Barcoo, Diamantina, Paroo districts (Queensland province), Tamworth Regional, Moree Plains districts (New South Wales province)"
2004,"Repton, Urunga villages (Bellingen district, New South Wales province), Coffs Harbour district (New South Wales province)"
2004,"Eidsvold village (North Burnett district, Queensland province), Wee Waa village (Narrabri district, New South Wales province), Weemelah, Mungindi villages (Moree Plains district, New South Wales province), Mullumbimby, Billinudgel villages (Byron district, New South Wales province), Orange New South Wales "
2004,NSW
2004,"Victoria, New South Wales provinces"
2005,"Eyre peninsula (Ceduna (DC), Cleve (DC), Elliston (DC), Franklin Harbour (DC), Kimba (DC), Lower Eyre Peninsula (DC), Port Augusta (C), Port Lincoln (C), Streaky Bay (DC), Tumby Bay (DC), Whyalla (C), Wudinna (DC) districts, South Australia province)"
2005,"Narrabri, Jerilderie, Wagga Wagga, Griffith, Bega Valley, Eurobodalla, Shoalhaven, Campbelltown districts (New South Wales province)"
2005,"Coomera, Currumbin villages (Gold Coast district, Queensland province), Byron Bay area (Byron district, New South Wales province), Yamba area (Clarence Valley district, New South Wales province), Benora area (Tweed district, New South Wales province), Casino village (Richmond Valley district, New South Wales province), Kyogle, Lismore, Ballina districts (New South Wales province)"
2005,"Australian Capital Territory, Queensland, New South Wales, Victoria provinces"
2006,"Exmouth, Ashburton, East Pilbara, Port Hedland, Roebourne districts (Western Australia province)"
2006,"Wyndham-East Kimberley, Ashburton, East Pilbara, Port Hedland, Roebourne, Upper Gascoyne districts (Western Australia province)"
2006,Cairns district (Queensland province)
2006,"Beswick village (Roper Gulf district, Northern Territory province), Katherine, Unincorporated NT districts, (Northern Territory province)"
2006,"Victoria, New South Wales, Tasmania provinces"
2006,"Tasmania, Victoria, New South Wales provinces"
2006,NO DATA: all country has been selected
2006,"Blue mountains district, New South Wales province"
2007,"Gosford, Dungog, Newcastle, Wyong, Port Stephens, Maitland, Cessnock districts (New South Wales province)"
2007,"Darwin district (Northern Territory province), Ashburton, East Pilbara, Port Hedland, Roebourne districts (Western Australia province)"
2008,"Brisbane, Logan, Gold Coast, Sunshine Coast, Moreton Bay districts (Queensland province)"
2008,"Central Highlands, Isaac districts (Queensland province)"
2008,"Brisbane, Southern Downs, Scenic Rim, Ipswich districts (Queensland province), Lismore, Richmond Valley, Kyogle, Tweed, Bellingen, Tenterfield, Ballina districts (New South Wales province)"
2008,"Yamba area (Unincorporated NSW, New South Wales province), Proserpine, Airlie Beach, Bowen areas (Whitsunday district, Queensland province), Giru area (Burdekin district, Queensland province), Georgetown area (Etheridge district, Queensland province), Charleville area (Murweh district, Queensland province), Aramac, Muttaburra, Willow villages (Barcaldine district, Queensland province), Belyando, Clermont villages (Isaac district, Queensland province), Emerald, Sapphire villages (Central Highlands district, Queensland province), hargomindah village (Bulloo district, Queensland province), Mirani, Finch Hatton villages (Mackay district, Queensland province), Cunnamulla village (Paroo district, Queensland province), Townsville, Charters Towers, Longreach, Winton, Barcoo, Quilpie, Blackall Tambo districts (Queensland province)"
2008,"Gooseponds, Hospital Bridge, Glenella, the CBD areas (Mackay district, Queensland province), Calliope, Gladstone, Miriam Vale, Agnes Water, Seventeen Seventy towns (Gladstone district, Queensland province), Gogango, Rockhampton towns (Rockhampton district, Queensland province), Bundaberg city (Bundaberg district, Queensland province), Giru village (Burdekin district, Queensland province), Thuringowa area (Townsville district, Queensland province), Atherton, Tolga towns (Tablelands district, Queensland province), Edmonton area (Cairns district, Queensland province)"
2009,"Marysville, Kinglake, Taggerty cities (Murrindindi (S) district, Victoria province), Strathewen, St Andrews cities (Nillumbik (S) district, Victoria province), , Whittlesea city (Whittlesea district, Victoria province), Wandong city (Mitchell (S) district, Victoria province) "
2009,"Queensland, New South Wales provinces"
2009,Queensland province
2009,New South Wales province
2009,"Queensland, New South Wales provinces"
2009,"Victoria, New South wales (South), Tasmania (Northern) provinces"
2010,"Victoria, New South Wales, Tasmania provinces"
2010,"Alpine, Ballarat, Banyule, Baw Baw, Darebin, East Gippsland, Greater Shepparton, Hepburn, Hume, Latrobe, Mansfield, Moonee Valley, Moreland, Nillumbik, South Gippsland, Strathbogie, Wangaratta, Wellington, Whittlesea districts (Victoria province)"
2010,"Joondalup, Mandurah, Perth districts (Western Australia province)"
2010,"Bega Valley, Eurobodalla, Bombala, Cooma-Monaro, Snowy River, Mid-Western Regional districts (New South Wales province) "
2010,"Charleville town (Murweh district, Queensland province), Roma town (Maranoa district, Queensland province), Thallon, Bollon, Dirranbandi towns (Balonne district, Queensland province), Brisbane district (Queensland province),"
2010,"Benalla, Buloke, Campaspe, Gannawarra, Greater Shepparton, Hindmarsh, Indigo, Loddon, Mildura, Moira, Swan Hill, Towong, Wangaratta, Wodonga, Yarriambiack districts (North Central Victoria province), Queensland, New South Wales provinces"
2010,"New South Wales, Queensland, Victoria provinces"
2010,"Mackay, Whitsunday districts (Queensland province)"
2011,"Cassowary, Innisfail, Silkwood, Mission Beach, Cardwell, Tully towns (Cassowary Coast district, Queensland province), Townsville town (Townsville district, Queensland province), Ingham town (Hinchinbrook district, Queensland province)"
2011,"Fitzroy Crossing area (Derby-West Kimberley district, Western Australia province), Warmum area (Halls Creek district, Western Australia province)"
2011,"Margaret river city (Augusta-Margaret River (S) district, Western Australia province)"
2012,"New South Wales, Queensland provinces"
2012,"New South Wales province (Bellingen, Byron, Kyogle, Lismore, Richmond Valley, Clarence Valley, Coffs Harbour, Inverell, Nambucca, Kempsey, Tweed, Tenterfield, Greater Taree, Moree Plains, Narrabri (Wee Waa town), Gunnedah, Gwydir (Bingara, Gravesend, Yallaroi towns), Brewarrina (Goodooga town), Walgett (Collarenebri, Lightning Ridge, Cumborah towns), Bourke districts), Queensland province (Balonne (St. George, Dirranbandi, Roma towns), Paroo (Cunnamulla town), Maranoa (Mitchell town (Booringa area)), Murweh (Charleville town) districts),"
2013,"Brisbane, Ipswich, Bundaberg, Rockhampton districts (Queensland province), New South Wales province"
2013,"Dunnaley, Boomer Bay cities (Sorell (M) district, Tasmania province), Sommers Bay (Tasman district, Tasmania province), Bicheno city (Glamorgan/Spring Bay (M) district, Tasmania province); New South Wales, Victoria"
2013,Blue Mountains (C) district (New South Wales province)
2014,"Western Australia, Victoria provinces"
2014,"Kalamunda (S), Mundaring (S) districts (Perth Hills region, Western Australia province)"
2014,"Mickleham, Craigieburn cities (Hume district, Victoria province), Whittlesea (S), Nillumbik (S) districts (Melbourne north outskirts, Victoria province), Wallan, Kilmore, Beveridge cities (Mitchell (S) district, Victoria province), Warrandyte city (Manningham (C) district, Victoria province), Wunghnu city (Moira (S) district, Victoria province), Glenaladale, Walpa cities (East Gippsland (S) district, Victoria province), Yarram city (Wellington district, Victoria province), Morwell city (Latrobe district, Victoria province), Gisborne (Macedon Ranges district, Victoria province)"
2014,Brisbane district (Queensland province)
2015,"Dungog, Hunters Hill, Sydney districts (New South Wales province)"
2015,"Queensland, New South Wales provinces"
2015,"Northern Territory, Western Australia provinces"
2015,"Queensland, New South Wales provinces"
2015,"Carnarvon, Ashburton, Upper Gascoyne, Geraldton-Greenough, Irwin districts (Western Australia province)"
2015,"Wye River, Separation Creek cities (Colac-Otway (S) district, Victoria province)"
2015,"Sampson Flat city (Playford (C) district, South Australia province), Kersbrook (Adelaide Hills (DC) district, Mount Lofty Ranges, South Australia province)"
2015,"Pinery, Balaklava cities (Wakefield (DC) district, North Mount Lofty Ranges, South Australia province), Roseworthy city (Light (RegC) district, South Australia province)"
2016,"New South Wales, Queensland, Tasmania provinces"
2016,"Yarloop, Cookernup areas (Harvey (S) district, Western Australia province), Hamel, Waroona areas (Waroona (S) district, Western Australia province)"
2016,
2016,"Victoria, South Australia provinces"
2017,"New South Wales states (Dunedoo, Uarbry, Pappinbarra, Dondingalong, Kempsey, Boggabri, Narrabri, Mudgee)"
2017,"Logan region; Queensland; Nouvelle-Galles du Sud, au sud du Queensland, Sydney; Bowen (Whitsunday), Mackay, Proserpine (Whitsunday), Airlie beach (Whitsunday Isl.)"
2017,
2018,
2018,"New South Wales, Victoria , Queensland"
2018,"Ingham, Halifax, Innisfail (Northern Queensland)"
2019,Gippsland region (South-east Victoria state)
2019,"Townsville, Daintree, Giru (Queensland)"
2019,"New South Wales, Queensland; Victoria; South Australia, Western Australia"
2020,"New South Wales , Victoria States "
2020,New South Wales
2020,Brisbane
2021,Queensland and New South Wales
2021,Kalbarri and Northampton Town
2021,Perth region
2021,Northern Territory State 
2021,"Greater Sidney, Hunter, Mid North Coast, Clearance Nambucca Regions (New South Wales); Queensland"
